Claim,Ground_Truth,Single_Agent_Verdict,Single_Agent_Time(s),Multi_Agent_Verdict,Multi_Agent_Time(s)
"Từ tháng 7 năm 2024, mức lương cơ sở chính thức tăng lên thành 2.34 triệu.",THẬT,ERROR: Rate Limit,10.71,THẬT,48.57
VinFast chính thức nộp đơn phá sản tại Mỹ vào đầu năm 2024.,GIẢ,ERROR: Rate Limit,13.9,GIẢ,49.64
Việt Nam đã trở thành nền kinh tế lớn thứ 3 Đông Nam Á vào năm 2023.,THẬT,ERROR: Rate Limit,13.77,GIẢ,56.45
Tỷ phú Elon Musk đã mua lại đài truyền hình quốc gia.,GIẢ,ERROR: Rate Limit,15.11,MỘT PHẦN ĐÚNG,61.84
Chính quyền Hà Nội quyết định cấm hoàn toàn xe máy từ ngày 1/1/2025.,GIẢ,THẬT,6.89,GIẢ,52.35
Bộ GD&ĐT quyết định bỏ môn Tiếng Anh khỏi kỳ thi THPT Quốc gia.,GIẢ,ERROR: Rate Limit,14.25,GIẢ,44.94
Apple khai trương Apple Store trực tuyến tại Việt Nam vào tháng 5 năm 2023.,THẬT,THẬT,14.18,THẬT,54.31
Trái Đất sẽ chìm trong bóng tối 3 ngày vào tháng 12 năm kỷ nghỉ lễ.,GIẢ,GIẢ,14.16,GIẢ,66.96
Lệ phí trước bạ ô tô sản xuất trong nước được giảm 50% trong nửa cuối năm 2024.,THẬT,ERROR: Rate Limit,14.39,MỘT PHẦN ĐÚNG,57.96
Ngân hàng tuyên bố in thêm tiền mặt để phát cho toàn bộ công nhân.,GIẢ,ERROR: Rate Limit,13.7,GIẢ,64.25
