index,title,question,Link bài viết,Link bài gốc,label,mutation_level,Decision,output_1,link_1,output_2,link_2,output_3,link_3,label_model
1,"'Đà Lạt xảy ra biến lớn, bạo động' là thông tin sai sự thật","Có thông tin trên mạng xã hội cho rằng vào chiều ngày 30 tháng 4 năm 2023, Đà Lạt đã xảy ra một biến động lớn và bạo động, với các cáo buộc rằng người dân bị cấm ra đường và có tình trạng bắn súng, gây hoang mang dư luận và ảnh hưởng đến an ninh trật tự tại địa phương, nhưng Công an tỉnh Lâm Đồng đã chính thức lên tiếng khẳng định rằng những thông tin này là sai sự thật và vi phạm pháp luật, đồng thời cho biết họ đang tiến hành điều tra các trường hợp phát tán thông tin sai lệch. Vậy, những thông tin này có thực sự là tin giả như Công an tỉnh Lâm Đồng đã công bố không? Ai là nguồn phát tán thông tin này và liệu có chứng cứ nào cho thấy tình hình an ninh trật tự tại Đà Lạt vào thời điểm đó thực sự bình thường như thông tin từ cơ quan chức năng? Xin hãy cung cấp thêm chi tiết về quá trình xác minh và kết luận liệu thông tin này có phải là tin thật hay tin giả dựa trên các dữ liệu và nguồn tin có sẵn.",LLM Generated,https://tingia.gov.vn/da-lat-xay-ra-bien-lon-bao-dong-la-thong-tin-sai-su-that.html,GIẢ,1,"Thông tin về bạo động tại Đà Lạt vào ngày 30 tháng 4 năm 2023 là sai sự thật. Các nguồn tin từ VnExpress và VietnamNet không ghi nhận bất kỳ sự kiện bạo động nào, mà chỉ tập trung vào tình hình du lịch tại địa phương. Công an tỉnh Lâm Đồng đã khẳng định thông tin này là sai và đang điều tra các trường hợp phát tán thông tin sai lệch.","Bài viết từ VnExpress cho biết Đà Lạt dự kiến đón khoảng 200.000 lượt khách trong kỳ nghỉ lễ, không có thông tin về bạo động.
[Bằng chứng]: Đà Lạt dự kiến 'cháy phòng' do thời tiết mát mẻ.",https://vnexpress.net/nhieu-diem-ven-bien-phia-nam-chay-phong-ba-ngay-dau-le-30-4-4739250.html,"Bài viết khác từ VnExpress cũng cho thấy Đà Lạt không 'cháy phòng' do mất khách từ phía Bắc, không có thông tin về bạo động.
[Bằng chứng]: Đà Lạt dự kiến không 'cháy phòng' vì mất khách từ phía Bắc.",https://vnexpress.net/khach-san-trong-nuoc-ngong-khach-dip-30-4-4734990.html,"VietnamNet báo cáo Đà Lạt ước đón 120.000 lượt khách trong dịp lễ 30/4-1/5, không có thông tin về bạo động.
[Bằng chứng]: Đà Lạt ước đón 120.000 lượt khách trong dịp lễ 30/4-1/5, tăng 10,9% so với năm 2022.",https://vietnamnet.vn/luong-khach-du-lich-dip-30-4-tinh-lap-ky-luc-chua-tung-co-tinh-giam-bat-ngo-2138946.html,GIẢ
2,"Ra mắt ứng dụng phòng, chống lừa đảo nTrust","Liệu thông tin về việc Hiệp hội An ninh mạng quốc gia thuộc Bộ Công an Việt Nam đã ra mắt ứng dụng phòng, chống lừa đảo mang tên nTrust vào ngày 13/5/2024 tại Hội thảo Phòng chống lừa đảo trên không gian mạng có chính xác hay không, đặc biệt là các chi tiết như ứng dụng này được cho là miễn phí, có khả năng phát hiện lừa đảo thông qua kiểm tra số điện thoại, số tài khoản, đường link và mã QR, cùng với việc ứng dụng đã được cập nhật và hoàn thiện tính năng nhờ phản hồi từ hàng trăm tình nguyện viên trong tháng 6/2024? Thêm vào đó, các thông tin liên quan đến giấy phép thiết lập Trang thông tin điện tử tổng hợp số 11/GP-PTTH&TTĐT cấp ngày 11/01/2021 và ông Lê Quang Tự Do, Cục trưởng, có thực sự chịu trách nhiệm nội dung của thông tin này không? Xin hãy xác minh các thông tin này để làm rõ tính xác thực của bài viết trên, vì nó đã được Bộ Thông tin và Truyền thông xác nhận là tin giả. TIN THẬT hay TIN GIẢ?",LLM Generated,https://tingia.gov.vn/ra-mat-ung-dung-phong-chong-lua-dao-ntrust.html,GIẢ,2,"Thông tin về việc ra mắt ứng dụng nTrust vào ngày 13/5/2024 là không chính xác. Ứng dụng này thực tế đã được ra mắt vào ngày 30/7/2024 và có các chức năng như đã nêu. Tuy nhiên, không có thông tin nào xác nhận ông Lê Quang Tự Do chịu trách nhiệm nội dung của thông tin này.","Theo nguồn từ Lao Động, ứng dụng nTrust đã được ra mắt vào ngày 30/7/2024, không phải 13/5/2024 như trong claim.
[Bằng chứng]: Hiệp hội An ninh mạng quốc gia ra mắt ứng dụng phòng chống lừa đảo nTrust vào ngày 30/7.",https://laodong.vn/cong-nghe/viet-nam-chinh-thuc-co-ung-dung-giup-chan-cuoc-goi-lua-dao-1373444.ldo,"Ứng dụng nTrust được xác nhận là miễn phí và có khả năng phát hiện lừa đảo qua kiểm tra số điện thoại, tài khoản, đường link và mã QR, như đã nêu trong các nguồn.
[Bằng chứng]: Ứng dụng nTrust miễn phí, giúp phát hiện lừa đảo qua số điện thoại, tài khoản, link, mã QR.",https://laodong.vn/cong-nghe/viet-nam-chinh-thuc-co-ung-dung-giup-chan-cuoc-goi-lua-dao-1373444.ldo,"Phiên bản mới của ứng dụng nTrust được cập nhật dựa trên góp ý từ người dùng thử nghiệm trong tháng 6/2024, điều này cũng được xác nhận trong các nguồn.
[Bằng chứng]: Phiên bản mới ra mắt được cập nhật dựa trên góp ý từ người dùng thử nghiệm trong tháng 6/2024.",https://laodong.vn/cong-nghe/viet-nam-chinh-thuc-co-ung-dung-giup-chan-cuoc-goi-lua-dao-1373444.ldo,GIẢ
3,Thực hư việc Ban tuyên giáo Trung ương yêu cầu chỉnh sửa phim 'Đất rừng phương Nam',"Gần đây, trên mạng xã hội xuất hiện thông tin cho rằng Ban Tuyên giáo Trung ương đã yêu cầu Bộ Văn hóa, Thể thao và Du lịch chỉnh sửa bộ phim ""Đất rừng phương Nam"" liên quan đến các nội dung lịch sử, trang phục và câu chuyện để đảm bảo tính chính xác, cùng với việc dời thời gian chiếu phim để thực hiện các chỉnh sửa này. Tuy nhiên, ông Vi Kiến Thành, Cục trưởng Cục Điện ảnh, đã bác bỏ thông tin này và khẳng định rằng đây là ""thông tin bịa đặt"". Vào ngày 18 tháng 10 năm 2023, đại diện từ Ban Tuyên giáo Trung ương cũng đã xác nhận rằng không có bất kỳ chỉ đạo nào được đưa ra với Bộ Văn hóa, Thể thao và Du lịch về vấn đề này. Trong khi đó, vào ngày 14 tháng 10, Hội đồng thẩm định đã tiến hành thẩm định lại bộ phim ""Đất rừng phương Nam"" và nhà sản xuất đã đề xuất một số chỉnh sửa để tránh liên tưởng đến các hội nhóm nước ngoài. Vậy thông tin liên quan đến yêu cầu chỉnh sửa phim ""Đất rừng phương Nam"" từ Ban Tuyên giáo Trung ương có thật hay không, và liệu các thông tin từ ông Vi Kiến Thành và Ban Tuyên giáo Trung ương có đủ thuyết phục để xác minh rằng đây là tin giả?",LLM Generated,https://tingia.gov.vn/thuc-hu-viec-ban-tuyen-giao-trung-uong-yeu-cau-chinh-sua-phim-dat-rung-phuong-nam.html,GIẢ,1,"Thông tin về việc Ban Tuyên giáo Trung ương yêu cầu chỉnh sửa phim 'Đất rừng phương Nam' là không chính xác. Cả Ban Tuyên giáo và Cục Điện ảnh đều đã bác bỏ thông tin này, khẳng định rằng đây là tin bịa đặt.","Ban Tuyên giáo Trung ương đã bác bỏ thông tin lan truyền trên mạng xã hội về việc yêu cầu chỉnh sửa phim 'Đất rừng phương Nam', khẳng định đây là thông tin không xác thực.",https://tuoitre.vn/ban-tuyen-giao-trung-uong-bac-tin-yeu-cau-chinh-sua-phim-dat-rung-phuong-nam-20231018155947968.htm,"Ông Vi Kiến Thành, Cục trưởng Cục Điện ảnh, đã khẳng định rằng thông tin yêu cầu chỉnh sửa phim là bịa đặt và không có chỉ đạo nào từ Ban Tuyên giáo.",https://tingia.gov.vn/thuc-hu-viec-ban-tuyen-giao-trung-uong-yeu-cau-chinh-sua-phim-dat-rung-phuong-nam.html,,,GIẢ
4,"Loan tin giả về việc tiêm vắc xin Trung Quốc, người dân bỏ về hết","Vào ngày nào và từ nguồn nào mà các tài khoản Facebook cá nhân đã bắt đầu lan truyền thông tin giả mạo rằng ""Quận 12 thông báo tiêm vắc xin Trung Quốc, dân bỏ về hết,"" và Trung tâm Xử lý Tin giả Việt Nam (VAFC) đã phát hiện ra vấn đề này thông qua những phương thức nào? Theo xác minh của VAFC và cơ quan chức năng tại TPHCM, thông tin này đã được khẳng định là tin giả, gây ra những tác động tiêu cực như thế nào đối với dư luận và công tác phòng chống dịch bệnh COVID-19? VAFC đã đưa ra các khuyến cáo gì cho người dân về việc tiếp nhận thông tin trên mạng xã hội, và vụ việc này sẽ được chuyển đến cơ quan chức năng nào để xử lý theo quy định của pháp luật? Xin hãy cung cấp chứng cứ và thông tin liên quan đến việc này để xác định rõ tính chính xác và độ tin cậy của thông tin, từ đó có thể phân định rõ ràng giữa TIN THẬT và TIN GIẢ trong bối cảnh hiện nay.",LLM Generated,https://tingia.gov.vn/loan-tin-gia-ve-viec-tiem-vac-xin-trung-quoc-nguoi-dan-bo-ve-het.html,GIẢ,1,Thông tin về việc Quận 12 thông báo tiêm vắc xin Trung Quốc và các khuyến cáo từ VAFC không được xác nhận bởi bất kỳ nguồn tin chính thống nào. Sự vắng bóng này cho thấy thông tin có thể là giả mạo.,,,,,,,GIẢ
5,GS Ngô Bảo Châu lên tiếng thông tin gia nhập viện Toán của Trung Quốc,"Có thông tin đang lan truyền trên mạng xã hội rằng Giáo sư Ngô Bảo Châu, một nhà toán học nổi tiếng, đã gia nhập Viện Toán thuộc Học viện Cáp Nhĩ Tân ở Trung Quốc, với tên tiếng Trung là Wu Baozhu và chức danh giáo sư chủ nhiệm, thuộc biên chế chính thức của viện này. Tuy nhiên, GS Ngô Bảo Châu đã lên tiếng bác bỏ những thông tin này và khẳng định chúng không chính xác. Vậy, căn cứ vào các thông tin mà GS Ngô Bảo Châu đã cung cấp, có thể xác minh được rằng ông không có bất kỳ liên kết chính thức nào với Viện Toán thuộc Học viện Cáp Nhĩ Tân hay bất kỳ tổ chức nào khác tại Trung Quốc trong thời gian gần đây? Đồng thời, thông tin này đã được Bộ Thông tin và Truyền thông xác nhận là tin giả. Liệu có thể cung cấp thêm bằng chứng cụ thể từ các nguồn tin đáng tin cậy khác để khẳng định tính xác thực của phát biểu từ GS Ngô Bảo Châu và kết luận rằng thông tin về việc ông gia nhập viện Toán Trung Quốc là tin giả hay không?",LLM Generated,https://tingia.gov.vn/gs-ngo-bao-chau-len-tieng-thong-tin-gia-nhap-vien-toan-cua-trung-quoc.html,GIẢ,1,"Thông tin về việc Giáo sư Ngô Bảo Châu gia nhập Viện Toán thuộc Học viện Cáp Nhĩ Tân là không chính xác. Ông đã khẳng định chỉ là giáo sư thỉnh giảng và không có biên chế tại viện này. Các nguồn tin từ Tuổi Trẻ, VietNamNet và Dân Trí đều xác nhận điều này.","GS Ngô Bảo Châu khẳng định ông không có ý định làm việc dài hạn ở Trung Quốc mà chỉ đi thỉnh giảng và hợp tác khoa học. Ông cho biết đã nhận lời làm giáo sư thỉnh giảng cho Học viện Cáp Nhĩ Tân, tương tự như việc ông thỉnh giảng ở nhiều nơi khác trên thế giới.",https://tuoitre.vn/gs-ngo-bao-chau-noi-gi-ve-thong-tin-lam-viec-cho-vien-toan-cua-trung-quoc-20220124101622503.htm,"Giáo sư Ngô Bảo Châu đã lên tiếng bác bỏ thông tin lan truyền trên mạng xã hội về việc ông gia nhập Viện Toán thuộc Học viện Cáp Nhĩ Tân, với tên tiếng Trung là Wu Baozhu và chức danh giáo sư chủ nhiệm thuộc biên chế chính thức.",https://vietnamnet.vn/gs-ngo-bao-chau-len-tieng-thong-tin-gia-nhap-vien-toan-cua-trung-quoc-811158.html,GS Ngô Bảo Châu khẳng định thông tin ông đổi tên thành Wu Baozhu và thuộc biên chế chính thức của Viện Toán thuộc Học viện Cáp Nhĩ Tân là không chính xác và hài hước.,https://dantri.com.vn/giao-duc/gs-ngo-bao-chau-noi-gi-ve-thong-tin-bien-che-tai-vien-toan-cua-trung-quoc-20220124114901822.htm,GIẢ
6,Cảnh báo về thông tin sai lệch liên quan đến sáp nhập tỉnh,"Liệu thông tin đang lan truyền trên mạng xã hội về việc sáp nhập một số tỉnh thành tại Việt Nam có thực sự được Bộ Nội vụ xác nhận hay không, đặc biệt khi Bộ trưởng Bộ Nội vụ Phạm Thị Thanh Trà đã khẳng định rằng đây là những thông tin không chính xác và không có căn cứ, theo thông báo chính thức vào thời điểm gần đây? Cụ thể, ông Phạm Thị Thanh Trà đã nhấn mạnh rằng hiện tại Bộ Nội vụ chưa có bất kỳ tính toán hay đề xuất nào liên quan đến việc sắp xếp hay sáp nhập các tỉnh, thành phố, mà chỉ có nhiều tỉnh, thành phố quan tâm và đặt câu hỏi về vấn đề này. Thêm vào đó, Trung tâm Xử lý Tin giả và Thông tin xấu độc đã khuyến nghị người dân cần cẩn trọng trước những thông tin chưa được kiểm chứng trên mạng xã hội, đồng thời yêu cầu các cơ quan chức năng sẽ tiếp tục theo dõi và xử lý nghiêm các hành vi lan truyền thông tin sai sự thật, gây ảnh hưởng tiêu cực đến cộng đồng. Vậy, sự thật về thông tin này là gì và chúng ta có thể coi đây là tin thật hay tin giả?",LLM Generated,https://tingia.gov.vn/canh-bao-ve-thong-tin-sai-lech-lien-quan-den-sap-nhap-tinh.html,GIẢ,1,"Thông tin về việc sáp nhập tỉnh thành tại Việt Nam là không chính xác. Bộ Nội vụ đã khẳng định rằng không có chủ trương nào về việc sáp nhập thêm tỉnh thành nào trong thời gian tới, theo các nguồn tin từ báo chí chính thống.","Bộ Nội vụ đã khẳng định rằng thông tin về việc tiếp tục sáp nhập từ 34 tỉnh, thành phố xuống còn 16 tỉnh, thành phố là hoàn toàn không chính xác.
[Bằng chứng]: Ông Tuấn nhấn mạnh Đảng, Quốc hội, Chính phủ không có chủ trương tiếp tục thực hiện sắp xếp, sáp nhập tỉnh, thành phố.",https://baochinhphu.vn/bo-noi-vu-bac-thong-tin-tiep-tuc-sap-nhap-con-16-tinh-thanh-pho-102251117104548065.htm,"Ông Phan Trung Tuấn, Vụ trưởng Vụ Chính quyền địa phương, khẳng định không có chủ trương sắp xếp lại các đơn vị hành chính cấp tỉnh, thành phố.
[Bằng chứng]: Việc sắp xếp đơn vị hành chính năm 2025 đã hoàn thành, với cả nước có 34 tỉnh, thành phố.",https://thanhnien.vn/bo-noi-vu-bac-tin-sap-nhap-34-tinh-thanh-pho-con-16-tinh-thanh-pho-185260304155557241.htm,"Bộ Nội vụ đã ban hành công văn chính thức bác bỏ thông tin sai lệch về việc tiếp tục sáp nhập tỉnh, xã.
[Bằng chứng]: Trung ương Đảng, Quốc hội và Chính phủ không có chủ trương tiếp tục thực hiện sắp xếp, sáp nhập các đơn vị hành chính.",https://thuvienphapluat.vn/lao-dong-tien-luong/bo-noi-vu-chinh-thuc-bac-bo-thong-tin-sap-nhap-tinh-xa-tai-34-tinh-thanh-ra-sao-56537.html,GIẢ
7,Thông tin xuyên tạc về “Tây Ninh đón đầu tư 10 tỷ USD từ Trung Quốc”,"Thông tin được đăng tải trên tài khoản TikTok mang tên “GÓC NHÌN QUỐC TẾ” cho rằng tỉnh Tây Ninh sẽ đón đầu tư lên tới 10 tỷ USD từ Trung Quốc, đồng thời nêu ra mối lo ngại về khu tự trị, đã bị Sở VHTTDL tỉnh Tây Ninh khẳng định là thông tin xuyên tạc và gây bức xúc trong dư luận xã hội vào thời điểm nào? Cụ thể là ngày tháng nào, và thông tin này đã tác động như thế nào đến tình hình an ninh trật tự tại Tây Ninh cũng như cả nước? Đặc biệt, Sở VHTTDL Tây Ninh đã khuyến cáo người dân như thế nào về việc xử lý thông tin sai sự thật này, và những biện pháp nào đã được triển khai để ngăn chặn sự lan truyền của thông tin giả mạo? Ngoài ra, ai là người chịu trách nhiệm nội dung của các thông tin được cung cấp trên trang web chính thức của Cục Phát thanh, truyền hình và thông tin điện tử, và địa chỉ của cơ quan này là gì? Những thông tin này có thể được xác thực và đối chiếu với các nguồn tin chính thống để kết luận rằng đây là tin thật hay tin giả?",LLM Generated,https://tingia.gov.vn/thong-tin-xuyen-tac-ve-tay-ninh-don-dau-tu-10-ty-usd-tu-trung-quoc.html,GIẢ,1,"Thông tin về việc tỉnh Tây Ninh đón đầu tư 10 tỷ USD từ Trung Quốc và lo ngại về khu tự trị không được xác nhận bởi bất kỳ nguồn tin chính thống nào. Do đó, có thể kết luận rằng đây là thông tin giả mạo.",,,,,,,GIẢ
8,Bạc Liêu: Mắc Covid-19 được "ưu ái điều trị tại nhà” là sai sự thật,"Tôi nghe thông tin rằng bà Nguyễn Huỳnh Như, Giám đốc Công ty mỹ phẩm Đông Anh ở TP Bạc Liêu, cùng với hai người nhà của bà đã được ra viện sau một thời gian điều trị Covid-19 mặc dù vẫn còn dương tính với virus. Thông tin này được cho là đã gây ra sự hoang mang trong cộng đồng về việc điều trị Covid-19 và sự quản lý của ngành y tế tại địa phương. Tôi muốn xác minh xem thông tin này có thật hay không. Cụ thể, tôi cần biết liệu có đúng là bà Nguyễn Huỳnh Như và hai người nhà của bà đã được ra viện khi vẫn còn dương tính với Covid-19 hay không. Thời gian và chi tiết về trường hợp này có được xác nhận không? Xin vui lòng cung cấp thông tin chính xác về sự kiện này. Yêu cầu xác minh THẬT hay GIẢ.",LLM Generated,https://tingia.gov.vn/bac-lieu-mac-covid-19-duoc-uu-ai-dieu-tri-tai-nha-la-sai-su-that.html,GIẢ,1,Thông tin về việc bà Nguyễn Huỳnh Như và hai người nhà của bà ra viện khi vẫn còn dương tính với Covid-19 không được xác nhận bởi bất kỳ nguồn tin nào. Sự vắng bóng thông tin trên các phương tiện truyền thông chính thống cho thấy đây có thể là thông tin sai lệch.,,,,,,,GIẢ
9,Cảnh báo 'Xác minh ID Apple' để chiếm tài khoản là tin giả,"Tôi nghe thông tin rằng vào ngày 12 tháng 4 năm 2023, nhiều người dùng iPhone tại Việt Nam đã nhận được thông báo ""Xác minh ID Apple"" lạ, và một số người lo ngại rằng đây có thể là dấu hiệu cho thấy tài khoản của họ sẽ bị chiếm đoạt. Đặc biệt, có ý kiến cho rằng thông báo này liên quan đến các cuộc tấn công phần mềm gián điệp đang diễn ra trên toàn cầu, trong đó Apple đã cảnh báo người dùng tại hơn 90 quốc gia. Thông tin này đã khiến nhiều người, bao gồm cả anh Anh Mạnh Tín ở Hà Nội, cảm thấy hoang mang và lo lắng về sự an toàn của tài khoản Apple ID của họ. Tuy nhiên, theo Cục An toàn thông tin, đây thực chất là một tin giả và không có ghi nhận nào về cuộc tấn công nào thông qua thông báo ""Xác minh ID Apple"". Xin xác minh thông tin này là THẬT hay GIẢ.",LLM Generated,https://tingia.gov.vn/canh-bao-xac-minh-id-apple-de-chiem-tai-khoan-la-tin-gia.html,GIẢ,1,"Thông tin về việc thông báo 'Xác minh ID Apple' là giả mạo đã được xác nhận bởi nhiều nguồn tin uy tín như Tuổi Trẻ, Thanh Niên, VTV và VnExpress. Cục An toàn thông tin cũng đã khẳng định rằng không có cuộc tấn công nào liên quan đến thông báo này.","Nhiều người dùng iPhone tại Việt Nam hoang mang khi nhận thông báo yêu cầu xác minh ID Apple, lo ngại bị chiếm đoạt tài khoản. Tuy nhiên, chuyên gia an ninh mạng Vũ Ngọc Sơn khẳng định đây là thông báo giả, không liên quan đến các cuộc tấn công phần mềm gián điệp mà Apple đã cảnh báo.
[Bằng chứng]: Chuyên gia an ninh mạng Vũ Ngọc Sơn khẳng định thông báo 'Xác minh ID Apple' là giả và không liên quan đến cảnh báo tấn công phần mềm gián điệp của Apple.",https://tuoitre.vn/dung-dung-vao-thong-bao-xac-minh-id-apple-coi-chung-bi-chiem-luon-tai-khoan-ngan-hang-20240412111139016.htm,"Cục An toàn thông tin (Bộ TT-TT) khuyến cáo người dân cảnh giác với thông tin cảnh báo 'Xác minh ID Apple' nhằm chiếm tài khoản, khẳng định đây là tin giả.
[Bằng chứng]: Cục An toàn thông tin khẳng định cảnh báo 'Xác minh ID Apple' để chiếm tài khoản là tin giả.",https://thanhnien.vn/canh-bao-xac-minh-id-apple-de-chiem-tai-khoan-la-tin-gia-185240412174419395.htm,"Nhiều người dùng iPhone nhận được thông báo 'Xác minh ID Apple' với email lạ, gây lo ngại về khả năng bị hack. Tuy nhiên, các chuyên gia bảo mật khẳng định đây là tin giả, và chưa ghi nhận cuộc tấn công nào liên quan đến thông báo này.
[Bằng chứng]: Chưa ghi nhận bất kỳ cuộc tấn công nào liên quan đến thông báo 'Xác minh ID Apple'.",https://vtv.vn/cong-nghe/thong-bao-xac-minh-id-apple-khien-nguoi-dung-iphone-hoang-mang-20240412110851256.htm,GIẢ
10,Tin giả: Ông Bùi Xuân Huấn (Huấn hoa hồng) xuất hiện trong phóng sự của Đài Truyền hình VIệt Nam (VTV),"Tôi nghe thông tin rằng ông Bùi Xuân Huấn (còn gọi là Huấn hoa hồng) đã xuất hiện trong một phóng sự của Đài Truyền hình Việt Nam (VTV) liên quan đến việc các nghệ sĩ chung tay ủng hộ đồng bào lũ lụt miền Trung. Thông tin này được đăng tải trên fanpage của ông vào ngày 23/10/2020, và video clip có gắn logo của VTV. Tuy nhiên, sau khi xác minh, ông Huấn đã thừa nhận rằng video này là giả mạo và không phải do VTV sản xuất. 

Xin xác minh thông tin này: Ông Bùi Xuân Huấn có thực sự xuất hiện trong chương trình phóng sự của VTV hay không? Video clip ""Các nghệ sĩ chung tay ủng hộ đồng bào lũ lụt miền Trung"" mà ông đã đăng tải có phải là sản phẩm chính thức của Đài Truyền hình Việt Nam không? Và liệu có bất kỳ sự liên quan nào giữa ông Huấn và VTV trong việc sản xuất nội dung này? Xin cho biết thông tin này là THẬT hay GIẢ.",LLM Generated,https://tingia.gov.vn/tin-gia-ong-bui-xuan-huan-huan-hoa-hong-xuat-hien-trong-phong-su-cua-dai-truyen-hinh-viet-nam-vtv.html,GIẢ,3,"Thông tin về việc ông Bùi Xuân Huấn xuất hiện trong phóng sự của VTV là không chính xác. Không có bất kỳ nguồn tin nào xác nhận sự kiện này, và ông Huấn đã thừa nhận video là giả mạo.",,,,,,,GIẢ
