id,claim,ground_truth
1,"Từ tháng 7 năm 2024, mức lương cơ sở chính thức tăng lên thành 2.34 triệu.",THẬT
2,"VinFast chính thức nộp đơn phá sản tại Mỹ vào đầu năm 2024.",GIẢ
3,"Việt Nam đã trở thành nền kinh tế lớn thứ 3 Đông Nam Á vào năm 2023.",THẬT
4,"Tỷ phú Elon Musk đã mua lại đài truyền hình quốc gia.",GIẢ
5,"Chính quyền Hà Nội quyết định cấm hoàn toàn xe máy từ ngày 1/1/2025.",GIẢ
6,"Bộ GD&ĐT quyết định bỏ môn Tiếng Anh khỏi kỳ thi THPT Quốc gia.",GIẢ
7,"Apple khai trương Apple Store trực tuyến tại Việt Nam vào tháng 5 năm 2023.",THẬT
8,"Trái Đất sẽ chìm trong bóng tối 3 ngày vào tháng 12 năm kỷ nghỉ lễ.",GIẢ
9,"Lệ phí trước bạ ô tô sản xuất trong nước được giảm 50% trong nửa cuối năm 2024.",THẬT
10,"Ngân hàng tuyên bố in thêm tiền mặt để phát cho toàn bộ công nhân.",GIẢ
